城市,起始時間,結束時間,最高溫度,最低溫度,體感
臺北市,2024-02-15T00:00:00+08:00,2024-02-15T06:00:00+08:00,18.0,15.0,寒冷至稍有寒意
新北市,2024-02-15T00:00:00+08:00,2024-02-15T06:00:00+08:00,17.0,14.0,寒冷至稍有寒意
桃園市,2024-02-15T00:00:00+08:00,2024-02-15T06:00:00+08:00,17.0,15.0,寒冷至稍有寒意
臺中市,2024-02-15T00:00:00+08:00,2024-02-15T06:00:00+08:00,17.0,15.0,寒冷至稍有寒意
臺南市,2024-02-15T00:00:00+08:00,2024-02-15T06:00:00+08:00,19.0,17.0,稍有寒意
高雄市,2024-02-15T00:00:00+08:00,2024-02-15T06:00:00+08:00,22.0,19.0,稍有寒意至舒適
基隆市,2024-02-15T00:00:00+08:00,2024-02-15T06:00:00+08:00,17.0,15.0,寒冷至稍有寒意
新竹縣,2024-02-15T00:00:00+08:00,2024-02-15T06:00:00+08:00,16.0,13.0,寒冷至稍有寒意
新竹市,2024-02-15T00:00:00+08:00,2024-02-15T06:00:00+08:00,17.0,14.0,寒冷至稍有寒意
苗栗縣,2024-02-15T00:00:00+08:00,2024-02-15T06:00:00+08:00,15.0,13.0,寒冷
彰化縣,2024-02-15T00:00:00+08:00,2024-02-15T06:00:00+08:00,17.0,15.0,寒冷至稍有寒意
南投縣,2024-02-15T00:00:00+08:00,2024-02-15T06:00:00+08:00,17.0,15.0,寒冷至稍有寒意
雲林縣,2024-02-15T00:00:00+08:00,2024-02-15T06:00:00+08:00,17.0,15.0,寒冷至稍有寒意
嘉義縣,2024-02-15T00:00:00+08:00,2024-02-15T06:00:00+08:00,17.0,15.0,寒冷至稍有寒意
嘉義市,2024-02-15T00:00:00+08:00,2024-02-15T06:00:00+08:00,18.0,16.0,稍有寒意
屏東縣,2024-02-15T00:00:00+08:00,2024-02-15T06:00:00+08:00,20.0,17.0,稍有寒意
宜蘭縣,2024-02-15T00:00:00+08:00,2024-02-15T06:00:00+08:00,18.0,17.0,稍有寒意
花蓮縣,2024-02-15T00:00:00+08:00,2024-02-15T06:00:00+08:00,19.0,18.0,稍有寒意
臺東縣,2024-02-15T00:00:00+08:00,2024-02-15T06:00:00+08:00,20.0,19.0,稍有寒意
澎湖縣,2024-02-15T00:00:00+08:00,2024-02-15T06:00:00+08:00,20.0,19.0,稍有寒意
金門縣,2024-02-15T00:00:00+08:00,2024-02-15T06:00:00+08:00,13.0,11.0,寒冷
連江縣,2024-02-15T00:00:00+08:00,2024-02-15T06:00:00+08:00,13.0,11.0,寒冷
